window,TW,hamming_mean_bias,hann_mean_bias,multitaper_mean_bias
0.01,1.0,0.005661315989601101,0.005373442845100151,0.00733117340154959
0.01,1.0,0.1438977590840265,0.14423788308861085,0.13717963415091242
0.01,1.0,0.11738141695117577,0.1200064905231574,0.10018829925666814
0.01,1.0,0.0014047491487763947,0.0018115611107571805,0.0013228699163167987
0.01,1.0,0.0013495397638952533,0.001482489007054812,0.002008161810405644
0.01,1.0,0.0016981895749222746,0.0018251928915187631,0.005469485916179782
0.01,1.0,0.03510016899902194,0.035009334614618144,0.04243095734620042
0.01,1.0,0.02260463749719354,0.022037419634458995,0.022129930584026417
0.01,1.0,0.030209777662378638,0.030559452673337338,0.0314508931587885
0.01,1.0,0.017541689703529057,0.017180344635489574,0.019424846936577003
0.01,1.0,0.05153018940782354,0.05112151187101682,0.05147807272619672
0.01,1.0,0.030899065447090823,0.031472503586565094,0.03069952717383223
0.01,1.0,0.3207936157353123,0.3285274200052185,0.28786782674664424
0.01,1.0,0.0901352757368898,0.09097795681491731,0.08589163567319871
0.01,1.0,0.007972812951876808,0.007752854315832021,0.010040041564654436
0.01,1.0,0.014209888062545173,0.013785376375448268,0.019554213870843013
0.01,1.0,0.05948896626163548,0.06114169502498684,0.0532534789146058
0.01,1.0,0.12361713619584087,0.12581089035430476,0.10039910258896408
0.01,1.0,0.12688052494684915,0.12695363322595735,0.13027052780105347
0.01,1.0,0.036995887015511444,0.036501401545516766,0.040495275359799784
0.01,1.0,0.022448183865500685,0.021119082698012662,0.030731651850681413
0.01,1.0,0.012230654091136675,0.010530177857581523,0.01655834076787879
0.01,1.0,0.018621179652671536,0.018288111082650698,0.018951390346959435
0.01,1.0,0.04388499250758497,0.04283461829240488,0.045876890366024915
0.01,1.0,0.0465521883381146,0.04548095977212663,0.05517756326211126
0.01,1.0,0.024858546145353093,0.025194078472588078,0.02418749899866145
0.01,1.0,0.0072784578532365364,0.006554576729918715,0.01658832808720906
0.01,1.0,0.0041507566794619175,0.0038037771567034327,0.004884531077228028
0.01,1.0,0.052881916769919116,0.051347035628133995,0.058493003534403475
0.01,1.0,0.0032930472772037763,0.0024325753928045053,0.005292017194978049
0.01,1.0,0.0024459942369073413,0.00248469631369034,0.0022665454485221856
0.01,1.0,0.057185192383672846,0.056362275731783075,0.0693538528445976
0.01,1.0,0.03731646234113969,0.03773460398104998,0.0381680728007618
0.01,1.0,0.08179746496016313,0.08235603574185943,0.085861343710846
0.01,1.0,0.005244106456561825,0.005422474724843762,0.004704404294317012
0.01,1.0,0.015668992558080512,0.015651278099986118,0.017613687074046393
0.01,1.0,0.02083850694385377,0.021218146457110284,0.021335027662067043
0.01,1.0,0.046920130617261524,0.04673766626439678,0.046680489645303816
0.01,1.0,0.07806238939933591,0.07865587649789271,0.07616150824954368
0.01,1.0,0.0029996072848914542,0.003002371888212676,0.003420777585009224
0.01,1.0,0.003515001051670033,0.0034229109558978213,0.0041767356826633096
0.01,1.0,0.12751636931782223,0.12535747930009886,0.12405408614682382
0.01,1.0,0.07566347985036219,0.07343098100270137,0.09268092321708822
0.01,1.0,0.17289322811819924,0.17230090979275142,0.19088428489084192
0.01,1.0,0.013819803798188517,0.013969059398109728,0.014252845381742488
0.01,1.0,0.08876425376321999,0.08802272928463627,0.09328717772884004
0.01,1.0,0.038732097922612216,0.03916664599768985,0.04056373475999413
0.01,1.0,0.08729492329926361,0.08686419094168439,0.09020057100304331
0.01,1.0,0.06008554226950118,0.058695747535355544,0.06088877552704217
0.01,1.0,0.00593104009365447,0.00517118664338577,0.007354061089796774
0.01,1.0,0.0524574547528574,0.05298067001068196,0.05599458678266487
0.01,1.0,0.007134519950159299,0.0055138431562108655,0.01078660594308888
0.01,1.0,0.03620702585676837,0.03596696151023367,0.04017109285436134
0.01,1.0,0.0022181224690184273,0.002463041661242885,0.0021499535294648266
0.01,1.0,0.02181361049684371,0.02265471209831827,0.017714294267891263
0.01,1.0,0.014525732161219492,0.014230676102103804,0.017297818776037668
0.01,1.0,0.019850118973368414,0.019003301768456358,0.019781216836361866
0.01,1.0,0.04017818718443385,0.03960211430006179,0.045698266051655015
0.01,1.0,0.06706267407525941,0.06682866119827112,0.06309483746569092
0.01,1.0,0.009334582750460656,0.00939320176407243,0.010299353407154509
0.01,1.0,0.00430283261330811,0.004266189804171674,0.004708663229741237
0.01,1.0,0.22932616162939942,0.23405437558741435,0.22291671595471385
0.01,1.0,0.05176466206869923,0.05050623484186584,0.055627531568292844
0.01,1.0,0.04368451878576028,0.04539436580502707,0.03759803000486102
0.01,1.0,0.0069190358128739405,0.006058630180977903,0.009317347574802355
0.01,1.0,0.12708892843508293,0.12729441945455497,0.12402406077304015
0.01,1.0,0.024383046425060565,0.02308234896051572,0.03651565207662806
0.01,1.0,0.010137558011542381,0.007682205566965784,0.021147863310993144
0.01,1.0,0.005747178055769403,0.005828535773314294,0.007177441632280644
0.01,1.0,0.011364076270552354,0.011201768606794891,0.013968819998186091
0.01,1.0,0.18121007221406488,0.1844293990046205,0.15294327078718345
0.01,1.0,0.003666043610343899,0.003592302343424888,0.0035545992644183664
0.01,1.0,0.19440856836184278,0.1930300649580829,0.21078281780742833
0.01,1.0,0.014647396281592229,0.01512748352160288,0.012047531758113931
0.01,1.0,0.04890573353835014,0.04951659661234718,0.05128433927261923
0.01,1.0,0.0259490188719389,0.025926415649341384,0.025442791571351864
0.01,1.0,0.01239884222928136,0.01232907681617834,0.015016788191009553
0.01,1.0,0.15967416935471793,0.1628716679117372,0.14841138983519708
0.01,1.0,0.003533627825181978,0.0033622640626155913,0.003765209637899157
0.01,1.0,0.23425724496546046,0.23998842144722574,0.20379120815455026
0.01,1.0,0.00385361804537008,0.003834184276871655,0.004312799871691403
0.01,1.0,0.04387259086456685,0.04262920650342878,0.04402374231019773
0.01,1.0,0.04848070573911202,0.04793129282979385,0.04848722674394117
0.01,1.0,0.06711118758199028,0.06834064036079984,0.0539931985664485
0.01,1.0,0.04434754475607393,0.043191291312397066,0.041941452094247794
0.01,1.0,0.02461380351823517,0.024369502186781654,0.026182421749795272
0.01,1.0,0.002960287740095449,0.002712197406152628,0.0036170898989225852
0.01,1.0,0.024302108340812586,0.02475168580962448,0.020517056941002833
0.01,1.0,0.008079860225688374,0.007570898908649019,0.01198034663902964
0.01,1.0,0.006292739153440539,0.006045470054916105,0.010109758589950616
0.01,1.0,0.002128049777011057,0.0021252270488092166,0.0021585515884679457
0.01,1.0,0.026385461128944642,0.026262613953807124,0.026682715084730052
0.01,1.0,0.003350760800878978,0.003391367120515934,0.0035358108323457886
0.01,1.0,0.06511131487818186,0.06395791504913281,0.07117244310469759
0.01,1.0,0.019863965988892528,0.01936675281583065,0.020815884637180447
0.01,1.0,0.00842357808852387,0.008185349029498553,0.008787098718122466
0.01,1.0,0.007316864024722378,0.007611119244202204,0.006272344526599427
0.01,1.0,0.04566133092406311,0.04624381552883962,0.047500996556629885
0.01,1.0,0.15938257616712326,0.16277176774664384,0.14192442654729415
0.01,1.0,0.017177342081872188,0.014732438629657002,0.025580841268981653
0.01,1.0,0.01062071220125766,0.009936090642086236,0.010797727398548753
0.01,1.0,0.020376900661536912,0.02068559305437705,0.016900743867889964
