window,TW,hamming_mean_bias,hann_mean_bias,multitaper_mean_bias
0.05,1.0,0.013445406610690323,0.014132811735243672,0.010481030497062954
0.05,1.0,0.09350184125344041,0.09441599792544628,0.08676207549001021
0.05,1.0,0.05648008525803607,0.05769237151821404,0.051506349248462466
0.05,1.0,0.008900870543992858,0.00907465984280117,0.009303075554837208
0.05,1.0,0.013903258912012566,0.014909977580313729,0.011238763879291598
0.05,1.0,0.02119855570426256,0.020623385232213475,0.023099363942091385
0.05,1.0,0.04472681512763756,0.04368284637722146,0.04622835442847334
0.05,1.0,0.030220819412985614,0.03151335323033326,0.033871227879509413
0.05,1.0,0.07497811503115627,0.06991532659467277,0.09334411897881965
0.05,1.0,0.07593146599112431,0.07116164251672824,0.09672817822628454
0.05,1.0,0.13798520014376028,0.1426862653331999,0.11831529062571951
0.05,1.0,0.024582353864551435,0.02362562754845364,0.02809255171144401
0.05,1.0,0.029519999399990143,0.026194375883778476,0.042498901121116386
0.05,1.0,0.02570733508242248,0.025843743817679794,0.03430109496804663
0.05,1.0,0.017713132527722518,0.017840618734472284,0.01882761703142338
0.05,1.0,0.03147194411319041,0.03193958093667675,0.02776312779762624
0.05,1.0,0.014255533993737904,0.013270398958123805,0.017052704999804325
0.05,1.0,0.1080088338421936,0.11234093777264949,0.08740717201000871
0.05,1.0,0.18483603288752068,0.18782304748543802,0.1627739959325848
0.05,1.0,0.004241254839855427,0.005197395999668401,0.006203229254469803
0.05,1.0,0.030251838415882134,0.03094358201291763,0.02585242786030758
0.05,1.0,0.04600952688806301,0.046166655712515804,0.04551178156164029
0.05,1.0,0.022642945930267108,0.02344068006492678,0.01911068334361913
0.05,1.0,0.041757299079386245,0.04360360374592264,0.033453259726020514
0.05,1.0,0.07534321113978315,0.0705792241185821,0.10188339502793782
0.05,1.0,0.05253873931334429,0.051921325712366476,0.05623377955044811
0.05,1.0,0.02385684883488889,0.02197255207148568,0.02933953892308427
0.05,1.0,0.020291884389661893,0.02055066536835327,0.019984447583145624
0.05,1.0,0.02948533620725675,0.023591762835216013,0.04759303233526992
0.05,1.0,0.03630947722181999,0.03331057159240433,0.051427182871598864
0.05,1.0,0.05203452896503864,0.051684290246933884,0.05449799202251532
0.05,1.0,0.12932398868158554,0.13173421550025025,0.11796810109694553
0.05,1.0,0.01892754025643306,0.018490646898737445,0.02318810103574661
0.05,1.0,0.027407543032283946,0.02438548443065729,0.042446435185294326
0.05,1.0,0.011247398254622329,0.011248899320778523,0.011120327378817907
0.05,1.0,0.13657676563296037,0.13865460965495469,0.12655845731575704
0.05,1.0,0.05714026524279323,0.05797446346671435,0.05270645901530423
0.05,1.0,0.03204683146407242,0.029783603336025023,0.04495834878617648
0.05,1.0,0.021593091724952135,0.017937666164644917,0.045563951348387866
0.05,1.0,0.004303075300897238,0.0035420065939925673,0.011507463591690439
0.05,1.0,0.01717306603785373,0.01775576870354117,0.014410657026924158
0.05,1.0,0.1402263485450263,0.14297490631973223,0.1281197747161796
0.05,1.0,0.07225549897000975,0.07072013831560177,0.0765978108144204
0.05,1.0,0.0744903298189809,0.07063639325032038,0.08803518842372357
0.05,1.0,0.07021840989815592,0.07326563568055619,0.05523531767861346
0.05,1.0,0.041910607147270254,0.0423268649095339,0.039255655844283394
0.05,1.0,0.022525805747438014,0.02015126720871281,0.029801933859456394
0.05,1.0,0.012970246768642913,0.012801661551511965,0.013639508064720354
0.05,1.0,0.048316315956674905,0.04847014186171549,0.04690253922315666
0.05,1.0,0.017705802985804764,0.017490331286663687,0.021808821316207826
0.05,1.0,0.25648386225254405,0.26584711300892544,0.20847980067199362
0.05,1.0,0.0707789790946216,0.07204034494916238,0.06223906135973035
0.05,1.0,0.010784879507236798,0.010576615946247012,0.015204913112056408
0.05,1.0,0.17993961784387263,0.1843754288830378,0.16055625679449284
0.05,1.0,0.05228885622843446,0.052466185171407664,0.051884090254415184
0.05,1.0,0.10328197653832097,0.10755256582168046,0.08390792866774388
0.05,1.0,0.012283361832893835,0.012618565634542705,0.017769072753189147
0.05,1.0,0.09728503602529305,0.09773712486825042,0.09512834993195109
0.05,1.0,0.046041021560831626,0.044872162740293105,0.051070324636088904
0.05,1.0,0.03306264930125905,0.029623636161626905,0.055195965271450834
0.05,1.0,0.022880549007250325,0.02110834381925703,0.03238958444236891
0.05,1.0,0.027985613846116277,0.023051217685697158,0.0484385769529494
0.05,1.0,0.012923047802261965,0.012023611909121965,0.01635341819328323
0.05,1.0,0.00872105698913852,0.00848487448315794,0.00943103993702873
0.05,1.0,0.013950771119292913,0.015339064075489708,0.0107759987099835
0.05,1.0,0.02359925539520336,0.021435793236211535,0.03567274340715616
0.05,1.0,0.08191391054293128,0.08225269113377295,0.08764956499924935
0.05,1.0,0.011326718186833704,0.011370627158756095,0.013574843862712536
0.05,1.0,0.051691367962901885,0.0529143046030004,0.0439132167776433
0.05,1.0,0.006273969146319871,0.006516313243224378,0.005581625597663437
0.05,1.0,0.046345099973121584,0.046688646617735585,0.04605167592376864
0.05,1.0,0.01956246719486283,0.01947544030565988,0.01968331697463433
0.05,1.0,0.06441292979026801,0.06298194619757426,0.0688761296921486
0.05,1.0,0.011917899957471468,0.012123246270310563,0.013208997558445044
0.05,1.0,0.029404946227460756,0.029890589606029992,0.027087092367617922
0.05,1.0,0.05918899653132782,0.06102147827260501,0.049534449447105826
0.05,1.0,0.029498842088323974,0.023604269096975546,0.0534560557875994
0.05,1.0,0.027293396953479102,0.025114222149273505,0.048481617592203916
0.05,1.0,0.008525611791311234,0.00712809576327316,0.01138134646338689
0.05,1.0,0.04188410645115525,0.04001537559950112,0.04621554945387845
0.05,1.0,0.01344908227430512,0.011456739962924057,0.023286871588488807
0.05,1.0,0.021261555904804896,0.021156782108777784,0.021863665064053885
0.05,1.0,0.08420957523901983,0.08589317963582871,0.07644558291647063
0.05,1.0,0.0247153011856591,0.022292727077431865,0.03299828350076527
0.05,1.0,0.01392541308165603,0.013287540241126598,0.016706516639338743
0.05,1.0,0.042382846353803315,0.04225113476485766,0.039080046654829365
0.05,1.0,0.013775533258538045,0.013547911728449819,0.016976451579013268
0.05,1.0,0.07570919690075391,0.07656997867409215,0.07492954485612825
0.05,1.0,0.01175785759821484,0.011618366146453589,0.01121261696541977
0.05,1.0,0.03490646860975586,0.035364684453326974,0.035962820397915866
0.05,1.0,0.017693220550592154,0.016359043107450837,0.022197185396567457
0.05,1.0,0.020295133560778437,0.018012259000060097,0.025057693201160608
0.05,1.0,0.009309054926478356,0.006600996861867429,0.018690990378380973
0.05,1.0,0.043043919804624894,0.0425149845511116,0.046983980539902805
0.05,1.0,0.01078363777688303,0.009762992401709998,0.013684580997316748
0.05,1.0,0.05172619162900234,0.051823934256313535,0.05186299126785454
0.05,1.0,0.06354457899070637,0.062071647295718325,0.07118713586391079
0.05,1.0,0.028651227984875908,0.02761317264187223,0.03390056233378161
0.05,1.0,0.08051656127708384,0.08090960228334346,0.07514274842737358
0.05,1.0,0.02233704027317057,0.02255206876063792,0.02398426566748923
0.05,1.0,0.04600271691368075,0.04712792035422752,0.03860274352782911
0.05,1.0,0.01965543719698258,0.016371444757192016,0.02580103296152756
0.05,1.0,0.006444560734312143,0.007266845422952097,0.02095984538807119
0.05,1.0,0.013133622130753263,0.014349152124078605,0.012940409422511597
0.05,1.0,0.09318662489741174,0.087955401122462,0.11483328190997547
0.05,1.0,0.08359661410725934,0.08047908699811179,0.09649911140464505
0.05,1.0,0.03523463936020454,0.03457533772966309,0.04574798793150385
0.05,1.0,0.036272150128351895,0.037890495295100426,0.027369911037747947
0.05,1.0,0.05144720709099957,0.047447429981243114,0.07402198991801606
0.05,1.0,0.04003050304710921,0.04059319536802947,0.03845712584262448
0.05,1.0,0.03754369156662107,0.03734046381133831,0.03856501177706676
0.05,1.0,0.02278560263158813,0.02278338111903625,0.02228160467709848
0.05,1.0,0.02082116119746857,0.019594347429439374,0.022977927018123
0.05,1.0,0.24360397704752873,0.2493389206381045,0.21349902393764164
0.05,1.0,0.010669391074759095,0.01169661580841428,0.011088422470537094
0.05,1.0,0.03248193513490673,0.03396298307523899,0.025085835602839824
0.05,1.0,0.009912739987733071,0.0097980009668606,0.009587931718322834
0.05,1.0,0.06055059847438643,0.05873608246486154,0.0671577232930075
0.05,1.0,0.014495795828616676,0.015245046377194697,0.011763325360375387
0.05,1.0,0.03469525080549914,0.03422075202748696,0.03797968829453017
0.05,1.0,0.0956967871634205,0.0987202109600317,0.07887634864266244
0.05,1.0,0.08368465580764908,0.0844088795173175,0.07905876106982794
0.05,1.0,0.11514616467172215,0.1161455932292663,0.10802570226476309
0.05,1.0,0.14119428355780705,0.14663317223202937,0.11439776608707972
0.05,1.0,0.04326166621990913,0.041137581646272264,0.04960098046230896
0.05,1.0,0.03660591595841313,0.03627879597518379,0.03876216739409419
0.05,1.0,0.5149434067121719,0.5295963468281671,0.44848379628809865
0.05,1.0,0.033588256073284514,0.03441791097780957,0.029372816922381344
0.05,1.0,0.016109019835028077,0.014586454422038337,0.02024270692602272
0.05,1.0,0.032572803765515794,0.0337673248438531,0.031356172577540635
0.05,1.0,0.08878343524152886,0.088290346887355,0.09292879291828803
0.05,1.0,0.10611125308837728,0.10631971020177197,0.10367528651975144
0.05,1.0,0.03317342887546863,0.032265924007596924,0.03892960592854208
0.05,1.0,0.06024188776940855,0.06017924912358251,0.05890629255510131
0.05,1.0,0.01727395473690022,0.016911182318855557,0.017730037964758198
0.05,1.0,0.03809842202670391,0.032497650940292645,0.06878426743611799
0.05,1.0,0.10869199469203568,0.11120653287668902,0.09733348238101186
0.05,1.0,0.07305895908856506,0.07047966736041426,0.08129968433568191
0.05,1.0,0.015049629585731058,0.014662108008613214,0.015807836464597057
0.05,1.0,0.013774688910084881,0.013490860564913323,0.014224832617089836
0.05,1.0,0.013084051737899664,0.011050898628480497,0.018767161980055905
0.05,1.0,0.09628489346188275,0.09725221244344665,0.09209584752244072
0.05,1.0,0.017449246596594283,0.018200115690934018,0.013809514551990872
0.05,1.0,0.017155823177502062,0.015915234010709527,0.0205224944233666
0.05,1.0,0.03293653148022099,0.030017291070358398,0.047514682625951335
0.05,1.0,0.09989721196561707,0.09862377618247128,0.10162547562372763
0.05,1.0,0.006424144321374538,0.006010255734210001,0.011980503537547427
0.05,1.0,0.01764005207734014,0.01687537472779159,0.02121316268564947
