Freq_12,Freq_30,Freq_50,Freq_80
5.080144758912718,0.17529026606545717,-3.5830978013025456,-34.3651878617576
8.190779811394592,-7.356740580614262,-12.389023498900862,-30.244220009731194
4.972435211145468,2.0854774023725513,-19.02690449251675,-19.81949159624658
8.740299061614746,-8.577549488119544,-2.849398927658952,-10.67153603174685
-0.906562622346831,-4.172166986008361,-13.463647612027295,-9.230751598458474
-1.383947133172092,-11.93992295653219,-11.717994695275424,-22.038412617322706
2.979738129613906,-9.015762014295422,-8.404093765638931,-16.808864858361872
5.818300193282873,-5.03473669700939,-1.8380428561885225,-12.096894856124855
3.954035014726165,-13.565741662577967,-8.73322424566875,-24.405563061371303
0.2240799107782454,-7.248904623252247,-8.649734450010953,-9.479844730120226
-2.6743323055495027,-8.620929437545268,-16.589556819180103,-12.169364328702123
2.325151254172795,0.6450767029533013,-14.75498427305251,-11.391189460431931
2.532798786239652,-6.356923344921971,-8.498031636813732,-12.057174857624945
-8.445774526917779,-1.4980501267192228,-10.972007012485005,-14.712482097798668
2.886698517956413,-5.952436339713667,-13.021159209178265,-9.367028922742541
4.453240958628312,-3.180930077628208,-13.64735204010353,-11.361968961704214
-3.1285394292979856,-1.760394017217899,-5.406143829684295,-13.345839774146567
4.932465652571328,-5.954813723478948,-14.415119644368993,-9.821772706803504
1.3383242990157949,-11.03623614113043,-12.053211369062513,-10.919865173723462
-10.626209675308393,-3.182278730779066,-8.66112644686773,-18.15454083990319
-7.478338146354908,-7.838454846374396,-9.989598736673546,-10.78755598763515
2.383091683627894,-7.291492558908094,-1.5957624467469271,-6.583416666577344
5.9992895714561705,-1.5261503209418796,-16.387676532651373,-12.847108709191593
2.5742936838460464,-3.6452668326280113,-14.769324062473505,-8.435058935588604
1.3311188977630386,-5.708627250875115,-9.62539737835058,-15.063579827274255
2.4702996516581948,-1.9234069255966508,-4.77540877581014,-22.260587798692704
2.548037338408599,-1.897926518216873,-6.666791629858629,-12.908512514399881
5.548703631597299,-7.556358931592016,-9.226160239341672,-22.94590229015511
1.3637319229579652,-1.0388060646028938,-4.984576055635109,-13.036664478473247
6.597057991659646,-10.430936702583057,-10.290387284623607,-9.92074495936895
3.316954061949281,-11.399897454372603,-11.947309468915916,-17.75950331867056
-0.3096902992084085,-3.2871815567964253,-8.767736145664525,-14.425156014535142
0.37388850872073487,-9.050281560656348,-14.193488365776346,-29.356707334064012
-0.5624884463073005,-8.021593767013762,-6.928164049026924,-11.961030365934759
7.537912408863525,-2.5770798720997146,-7.378464568386615,-16.52292296997421
-8.468489808753674,1.901090433246928,-9.33345663578028,-8.953806348171218
2.099313598303448,-7.709068438107555,-7.400025290842136,-12.888335638501013
6.069495452363531,-5.883616668680129,-5.217376974730412,-16.924488421786734
3.1335011008678726,-3.15659073076434,-15.799900810105274,-7.9828050415776435
5.8938559198159854,-10.338106919454479,-9.521219744664801,-20.720456498005184
6.559377970821517,-9.347746658081448,-7.6026786242402515,-12.824721638367214
-0.057323225817317525,-7.699168280486261,-14.980306725740043,-10.055667787422752
4.973487240427415,-8.621965748874949,-12.95533402870388,-5.506028843693915
